code,title,intent
SM-12,Reused or Certified Timber,To encourage the use of timber sourced from legal and sustainable sources.
SM-13,Improved Construction Waste Management,"To further reduce the long-term environmental impacts associated with construction waste collection, transport and disposal."
SM-14,Improved Operational Waste Management,"To further reduce the long-term environmental impacts associated with operational waste collection, transport and disposal."
SM-15,Organic Waste Management,To encourage the recovery and reuse of organic waste from building operations including landscaping and food waste.
SM-2,Design for Materials Reduction,To reduce the overall amount of material used in the development of buildings.
SM-3,Design for Flexibility & Adaptability,To lengthen the useful life of buildings through designs that are easily adaptable for other program uses.
SM-4,Design for Disassembly,To facilitate the future deconstruction and reuse of buildings and their structural and envelope components.
SM-5,Modular Flooring Systems,To minimize waste associated with replacement of flooring systems through the use of modular systems.
SM-6,Design for Durability,"To promote a long life building by protecting its components from condensation, water ingress, improper drainage and protecting vulnerable areas of the building envelope and surroundings."
SM-7,Building Reuse,"To encourage the reuse and improvement of existing building stock, reduce waste and other environmental impacts associated with new materials extraction, manufacturing, and transport."
SM-8,Material Reuse,To promote the selection of previously used or salvaged materials in order to reduce demand on natural resources and reduce waste
SM-9,Regional Materials,To encourage the selection of building materials that have reduced transport impacts and promotes regional economies
SM-R1,Hazardous Materials Elimination,To eliminate exposure of building occupants to asbestos and minimize toxic effects of chromated copper arsenate (CCA) treated timber on people and the environment.
SM-R2,Basic Construction Waste Management,"To reduce the long-term environmental impacts associated with construction waste collection, transport and disposal."
SM-R3,Basic Operational Waste Management,"To reduce the long-term environmental impacts associated with operational waste collection, transport and disposal."
